filename,comment_amount,code_amount,ratio,classComment,methodComment,methodBody,constructorComment,constructorBody,fieldComment,fieldBody,classCommentLineLength,classCommentSymbolLength
ErrorHandlingTest.java,18,116,0.15517241379310345," @author crazybob@google.com (Bob Lee) | suppress compiler error to test",,,,,,,1,72
MethodInterceptionTest.java,17,366,0.04644808743169399," @author jessewilson@google.com (Jesse Wilson) ",,,,,,,1,47
MembersInjectorTest.java,30,334,0.08982035928143713," @author jessewilson@google.com (Jesse Wilson) |
   * Tests that member injections could happen in parallel.
   *
   * <p>Additional check that when member injection happen other threads would wait for it to finish
   * to provide proper resolution order semantics.
   | Callback for member injection. Uses a static type to be referable by getInstance(). |
   * Tests that member injections could happen in parallel.
   *
   * <p>Additional check that when member injection happen other threads would wait for it to finish
   * to provide proper resolution order semantics.
   | Member injection callback that injects itself. ","/**
 * Verifies that member injection injecting itself would get a non initialized instance.
 */
 
","{
    final RecursiveMemberInjection rmi = new RecursiveMemberInjection();
    Guice.createInjector(new AbstractModule() {

        @Override
        protected void configure() {
            bind(RecursiveMemberInjection.class).toInstance(rmi);
        }
    });
    assertTrue(""Member injection should happen"", rmi.called);
} 
",,,,,11,608
ProvisionListenerTest.java,48,804,0.05970149253731343,"
 * Tests for {@link Binder#bindListener(Matcher, ProvisionListener...)}
 *
 * @author sameb@google.com (Sam Berlin)
 | TODO(sameb): Add some tests for private modules & child injectors.",,,,,,,4,179
OptionalBindingTest.java,27,244,0.11065573770491803,"
 * This test verifies the ways things are injected (ie. getInstance(), injectMembers(), bind to
 * instance, and bind to provider instance) for all states of optional bindings (fields, methods,
 * multiple-argument methods, provider fields, provider methods, constructors).
 *
 * @author jessewilson@google.com (Jesse Wilson)
 ","/**
 * Test for bug 107, where we weren't doing optional injection properly for indirect injections.
 */
 
","{
    Indirect indirect = Guice.createInjector().getInstance(Indirect.class);
    assertNotNull(indirect.hasOptionalInjections);
    indirect.hasOptionalInjections.assertNothingInjected();
} 
",,,,,5,317
AllTests.java,31,115,0.26956521739130435," @author crazybob@google.com (Bob Lee) ",,,,,,,1,39
LoggerInjectionTest.java,5,61,0.08196721311475409,"
 * Test built-in injection of loggers.
 *
 * @author jessewilson
 ",,,,,,,3,60
TypeListenerTest.java,43,677,0.06351550960118169," @author jessewilson@google.com (Jesse Wilson) ","/**
 * We had a bug where we weren't notifying of types encountered for member injection when those
 * types had no members to be injected. Constructed types are always injected because they always
 * have at least one injection point: the class constructor.
 */
 
","{
    final AtomicInteger notificationCount = new AtomicInteger();
    Guice.createInjector(new AbstractModule() {

        @Override
        protected void configure() {
            bindListener(onlyAbcd, new TypeListener() {

                @Override
                public <I> void hear(TypeLiteral<I> type, TypeEncounter<I> encounter) {
                    notificationCount.incrementAndGet();
                }
            });
            bind(C.class).toInstance(new C());
        }
    });
    assertEquals(1, notificationCount.get());
} 
",,,,,1,47
NullableInjectionPointTest.java,7,236,0.029661016949152543," @author jessewilson@google.com (Jesse Wilson) ","/**
 * Provider.getInstance() is allowed to return null via direct calls to getInstance().
 */
 
/**
 * We haven't decided on what the desired behaviour of this test should be...
 */
 
/**
 * Tests for a regression where dependency objects were not updated properly and OptionalBinder
 * was rejecting nulls from its dependencies.
 */
 
","{
    assertNull(createInjector().getInstance(Foo.class));
} 
{
    try {
        Guice.createInjector(new AbstractModule() {

            @Override
            protected void configure() {
                bind(Foo.class).toInstance(null);
            }
        });
        fail();
    } catch (CreationException expected) {
        assertContains(expected.getMessage(), ""Binding to null instances is not allowed."", ""at "" + getClass().getName(), getDeclaringSourcePart(getClass()));
    }
} 
{
    Injector injector = Guice.createInjector(new AbstractModule() {

        @Override
        protected void configure() {
            bind(Foo.class).toProvider(Providers.<Foo>of(null));
            OptionalBinder.newOptionalBinder(binder(), Foo.class);
        }

        @Provides
        @Named(""throughProvidesMethod"")
        Foo provideFoo(Optional<Foo> foo) {
            return foo.orNull();
        }
    });
    assertNull(injector.getInstance(Key.get(Foo.class, Names.named(""throughProvidesMethod""))));
} 
",,,,,1,47
ProviderInjectionTest.java,33,156,0.21153846153846154," @author crazybob@google.com (Bob Lee) ","/**
 * Test for bug 155.
 */
 
/**
 * When custom providers are used at injector creation time, they should be injected before use.
 * In this testcase, we verify that a provider for List.class is injected before it is used.
 */
 
/**
 * This test ensures that regardless of binding order, instances are injected before they are
 * used. It injects mutable Count objects and records their value at the time that they're
 * injected.
 */
 
","{
    Module m = new AbstractModule() {

        @Override
        protected void configure() {
            bind(Bar.class).toProvider(new Provider<Bar>() {

                @SuppressWarnings(""unused"")
                @Inject
                void cantBeCalled(Baz baz) {
                    fail(""Can't have called this method since Baz is not bound."");
                }

                @Override
                public Bar get() {
                    return new Bar() {
                    };
                }
            });
        }
    };
    try {
        Guice.createInjector(m);
        fail(""Should have thrown a CreationException"");
    } catch (CreationException expected) {
    }
} 
{
    Injector injector = Guice.createInjector(new AbstractModule() {

        @Override
        public void configure() {
            // should bind String to ""[true]""
            bind(String.class).toProvider(new Provider<String>() {

                private String value;

                @Inject
                void initialize(List list) {
                    value = list.toString();
                }

                @Override
                public String get() {
                    return value;
                }
            });
            // should bind List to [true]
            bind(List.class).toProvider(new Provider<List>() {

                @Inject
                Boolean injectedYet = Boolean.FALSE;

                @Override
                public List get() {
                    return Arrays.asList(injectedYet);
                }
            });
            // should bind Boolean to true
            bind(Boolean.class).toInstance(Boolean.TRUE);
        }
    });
    assertEquals(""Providers not injected before use"", ""[true]"", injector.getInstance(String.class));
} 
{
    Injector injector = Guice.createInjector(new AbstractModule() {

        @Override
        protected void configure() {
            // instance injection
            bind(Count.class).annotatedWith(named(""a"")).toInstance(new Count(0) {

                @Inject
                void initialize(@Named(""b"") Count bCount) {
                    value = bCount.value + 1;
                }
            });
            // provider injection
            bind(Count.class).annotatedWith(named(""b"")).toProvider(new Provider<Count>() {

                Count count;

                @Inject
                void initialize(@Named(""c"") Count cCount) {
                    count = new Count(cCount.value + 2);
                }

                @Override
                public Count get() {
                    return count;
                }
            });
            // field and method injection, fields first
            bind(Count.class).annotatedWith(named(""c"")).toInstance(new Count(0) {

                @Inject
                @Named(""d"")
                Count dCount;

                @Inject
                void initialize(@Named(""e"") Count eCount) {
                    value = dCount.value + eCount.value + 4;
                }
            });
            // static injection
            requestStaticInjection(StaticallyInjectable.class);
            bind(Count.class).annotatedWith(named(""d"")).toInstance(new Count(8));
            bind(Count.class).annotatedWith(named(""e"")).toInstance(new Count(16));
        }
    });
    assertEquals(28, injector.getInstance(Key.get(Count.class, named(""c""))).value);
    assertEquals(30, injector.getInstance(Key.get(Count.class, named(""b""))).value);
    assertEquals(31, injector.getInstance(Key.get(Count.class, named(""a""))).value);
    assertEquals(28, StaticallyInjectable.cCountAtInjectionTime);
} 
",,,,,1,39
