fileName,className,classComment,commentStart,commentEnd,classCommentSymbolLength,classCommentLineLength
C:\Users\vaano\python_projects\django\django\apps\config.py,AppConfig,"
Class representing a Django application and its configuration.
",11,12,62,1
C:\Users\vaano\python_projects\django\django\apps\registry.py,Apps,"
A registry that stores the configuration of installed applications.

It also keeps track of models, e.g. to provide reverse relations.
",14,17,134,3
C:\Users\vaano\python_projects\django\django\conf\__init__.py,SettingsReference,"
String subclass which references a current settings value. It's treated as
the value in memory but serializes to a settings.NAME attribute reference.
",32,34,149,2
C:\Users\vaano\python_projects\django\django\conf\__init__.py,LazySettings,"
A lazy proxy for either global Django settings or a custom settings object.
The user can manually configure settings prior to using them. Otherwise,
Django uses the settings module pointed to by DJANGO_SETTINGS_MODULE.
",44,47,218,3
C:\Users\vaano\python_projects\django\django\conf\__init__.py,Settings,,,,,
C:\Users\vaano\python_projects\django\django\conf\__init__.py,UserSettingsHolder,"
Holder for user configured settings.
",224,225,36,1
C:\Users\vaano\python_projects\django\django\contrib\admin\apps.py,SimpleAdminConfig,"
Simple AppConfig which does not do automatic discovery.
",8,9,55,1
C:\Users\vaano\python_projects\django\django\contrib\admin\apps.py,AdminConfig,"
The default AppConfig for admin which does autodiscovery.
",20,21,57,1
C:\Users\vaano\python_projects\django\django\contrib\admin\checks.py,BaseModelAdminChecks,,,,,
C:\Users\vaano\python_projects\django\django\contrib\admin\checks.py,ModelAdminChecks,,,,,
C:\Users\vaano\python_projects\django\django\contrib\admin\checks.py,InlineModelAdminChecks,,,,,
C:\Users\vaano\python_projects\django\django\contrib\admin\exceptions.py,DisallowedModelAdminLookup,"
Invalid filter was passed to admin view via URL querystring
",5,6,59,1
C:\Users\vaano\python_projects\django\django\contrib\admin\exceptions.py,DisallowedModelAdminToField,"
Invalid to_field was passed to admin view via URL query string
",10,11,62,1
C:\Users\vaano\python_projects\django\django\contrib\admin\filters.py,ListFilter,,,,,
C:\Users\vaano\python_projects\django\django\contrib\admin\filters.py,SimpleListFilter,,,,,
C:\Users\vaano\python_projects\django\django\contrib\admin\filters.py,FieldListFilter,,,,,
C:\Users\vaano\python_projects\django\django\contrib\admin\filters.py,RelatedFieldListFilter,,,,,
C:\Users\vaano\python_projects\django\django\contrib\admin\filters.py,BooleanFieldListFilter,,,,,
C:\Users\vaano\python_projects\django\django\contrib\admin\filters.py,ChoicesFieldListFilter,,,,,
C:\Users\vaano\python_projects\django\django\contrib\admin\filters.py,DateFieldListFilter,,,,,
C:\Users\vaano\python_projects\django\django\contrib\admin\filters.py,AllValuesFieldListFilter,,,,,
C:\Users\vaano\python_projects\django\django\contrib\admin\filters.py,RelatedOnlyFieldListFilter,,,,,
C:\Users\vaano\python_projects\django\django\contrib\admin\forms.py,AdminAuthenticationForm,"
A custom authentication form used in the admin app.
",7,8,51,1
C:\Users\vaano\python_projects\django\django\contrib\admin\forms.py,AdminPasswordChangeForm,,,,,
C:\Users\vaano\python_projects\django\django\contrib\admin\helpers.py,ActionForm,,,,,
C:\Users\vaano\python_projects\django\django\contrib\admin\helpers.py,AdminForm,,,,,
C:\Users\vaano\python_projects\django\django\contrib\admin\helpers.py,Fieldset,,,,,
C:\Users\vaano\python_projects\django\django\contrib\admin\helpers.py,Fieldline,,,,,
C:\Users\vaano\python_projects\django\django\contrib\admin\helpers.py,AdminField,,,,,
C:\Users\vaano\python_projects\django\django\contrib\admin\helpers.py,AdminReadonlyField,,,,,
C:\Users\vaano\python_projects\django\django\contrib\admin\helpers.py,InlineAdminFormSet,"
A wrapper around an inline formset for use in the admin system.
",224,225,63,1
C:\Users\vaano\python_projects\django\django\contrib\admin\helpers.py,InlineAdminForm,"
A wrapper around an inline form for use in the admin system.
",336,337,60,1
C:\Users\vaano\python_projects\django\django\contrib\admin\helpers.py,InlineFieldset,,,,,
C:\Users\vaano\python_projects\django\django\contrib\admin\helpers.py,AdminErrorList,"
Store errors for the form/formsets in an add/change view.
",398,399,57,1
C:\Users\vaano\python_projects\django\django\contrib\admin\models.py,LogEntryManager,,,,,
C:\Users\vaano\python_projects\django\django\contrib\admin\models.py,LogEntry,,,,,
C:\Users\vaano\python_projects\django\django\contrib\admin\models.py,Meta,,,,,
C:\Users\vaano\python_projects\django\django\contrib\admin\options.py,IncorrectLookupParameters,,,,,
C:\Users\vaano\python_projects\django\django\contrib\admin\options.py,BaseModelAdmin,"
Functionality common to both ModelAdmin and InlineAdmin.
",100,101,56,1
C:\Users\vaano\python_projects\django\django\contrib\admin\options.py,ModelAdmin,"
Encapsulate all admin options and functionality for a given model.
",543,544,66,1
C:\Users\vaano\python_projects\django\django\contrib\admin\options.py,InlineModelAdmin,"
Options for inline editing of ``model`` instances.

Provide ``fk_name`` to specify the attribute name of the ``ForeignKey``
from ``model`` to its parent. This is required if ``model`` has more than
one ``ForeignKey`` to its parent.
",1977,1982,231,5
C:\Users\vaano\python_projects\django\django\contrib\admin\options.py,StackedInline,,,,,
C:\Users\vaano\python_projects\django\django\contrib\admin\options.py,TabularInline,,,,,
C:\Users\vaano\python_projects\django\django\contrib\admin\options.py,DeleteProtectedModelForm,,,,,
C:\Users\vaano\python_projects\django\django\contrib\admin\sites.py,AlreadyRegistered,,,,,
C:\Users\vaano\python_projects\django\django\contrib\admin\sites.py,NotRegistered,,,,,
C:\Users\vaano\python_projects\django\django\contrib\admin\sites.py,AdminSite,"
An AdminSite object encapsulates an instance of the Django admin application, ready
to be hooked in to your URLconf. Models are registered with the AdminSite using the
register() method, and the get_urls() method can then be used to access Django view
functions that present a full admin interface for the collection of registered
models.
",33,38,338,5
C:\Users\vaano\python_projects\django\django\contrib\admin\sites.py,DefaultAdminSite,,,,,
C:\Users\vaano\python_projects\django\django\contrib\admin\tests.py,CSPMiddleware,"
The admin's JavaScript should be compatible with CSP.
",11,12,53,1
C:\Users\vaano\python_projects\django\django\contrib\admin\tests.py,AdminSeleniumTestCase,,,,,
C:\Users\vaano\python_projects\django\django\contrib\admin\utils.py,FieldIsAForeignKeyColumnName,"
A field is a foreign key attname, i.e. <FK>_id.
",23,24,47,1
C:\Users\vaano\python_projects\django\django\contrib\admin\utils.py,NestedObjects,,,,,
C:\Users\vaano\python_projects\django\django\contrib\admin\utils.py,NotRelationField,,,,,
C:\Users\vaano\python_projects\django\django\contrib\admin\widgets.py,FilteredSelectMultiple,"
A SelectMultiple with a JavaScript filter interface.

Note that the resulting JavaScript assumes that the jsi18n
catalog has been loaded in the page
",21,25,148,4
C:\Users\vaano\python_projects\django\django\contrib\admin\widgets.py,AdminDateWidget,,,,,
C:\Users\vaano\python_projects\django\django\contrib\admin\widgets.py,AdminTimeWidget,,,,,
C:\Users\vaano\python_projects\django\django\contrib\admin\widgets.py,AdminSplitDateTime,"
A SplitDateTime Widget that has some admin-specific styling.
",79,80,60,1
C:\Users\vaano\python_projects\django\django\contrib\admin\widgets.py,AdminRadioSelect,,,,,
C:\Users\vaano\python_projects\django\django\contrib\admin\widgets.py,AdminFileWidget,,,,,
C:\Users\vaano\python_projects\django\django\contrib\admin\widgets.py,ForeignKeyRawIdWidget,"
A Widget for displaying ForeignKeys in the ""raw_id"" interface rather than
in a <select> box.
",126,128,92,2
C:\Users\vaano\python_projects\django\django\contrib\admin\widgets.py,ManyToManyRawIdWidget,"
A Widget for displaying ManyToMany ids in the ""raw_id"" interface rather than
in a <select multiple> box.
",201,203,104,2
C:\Users\vaano\python_projects\django\django\contrib\admin\widgets.py,RelatedFieldWidgetWrapper,"
This class is a wrapper to a given widget to add the add icon for the
admin interface.
",230,232,86,2
C:\Users\vaano\python_projects\django\django\contrib\admin\widgets.py,AdminTextareaWidget,,,,,
C:\Users\vaano\python_projects\django\django\contrib\admin\widgets.py,AdminTextInputWidget,,,,,
C:\Users\vaano\python_projects\django\django\contrib\admin\widgets.py,AdminEmailInputWidget,,,,,
C:\Users\vaano\python_projects\django\django\contrib\admin\widgets.py,AdminURLFieldWidget,,,,,
C:\Users\vaano\python_projects\django\django\contrib\admin\widgets.py,AdminIntegerFieldWidget,,,,,
C:\Users\vaano\python_projects\django\django\contrib\admin\widgets.py,AdminBigIntegerFieldWidget,,,,,
C:\Users\vaano\python_projects\django\django\contrib\admin\widgets.py,AdminUUIDInputWidget,,,,,
C:\Users\vaano\python_projects\django\django\contrib\admin\widgets.py,AutocompleteMixin,"
Select widget mixin that loads options from AutocompleteJsonView via AJAX.

Renders the necessary data attributes for select2 and adds the static form
media.
",382,386,157,4
C:\Users\vaano\python_projects\django\django\contrib\admin\widgets.py,AutocompleteSelect,,,,,
C:\Users\vaano\python_projects\django\django\contrib\admin\widgets.py,AutocompleteSelectMultiple,,,,,
C:\Users\vaano\python_projects\django\django\contrib\admin\widgets.py,Media,,,,,
C:\Users\vaano\python_projects\django\django\contrib\admin\widgets.py,Media,,,,,
C:\Users\vaano\python_projects\django\django\contrib\admin\migrations\0001_initial.py,Migration,,,,,
C:\Users\vaano\python_projects\django\django\contrib\admin\migrations\0002_logentry_remove_auto_add.py,Migration,,,,,
C:\Users\vaano\python_projects\django\django\contrib\admin\migrations\0003_logentry_add_action_flag_choices.py,Migration,,,,,
C:\Users\vaano\python_projects\django\django\contrib\admin\templatetags\admin_list.py,ResultList,"
Wrapper class used to return items in a list_editable changelist, annotated
with the form object for error reporting purposes. Needed to maintain
backwards compatibility with existing admin templates.
",302,305,200,3
C:\Users\vaano\python_projects\django\django\contrib\admin\templatetags\base.py,InclusionAdminNode,"
Template tag that allows its template to be overridden per model, per app,
or globally.
",7,9,87,2
C:\Users\vaano\python_projects\django\django\contrib\admin\templatetags\log.py,AdminLogNode,,,,,
C:\Users\vaano\python_projects\django\django\contrib\admin\views\autocomplete.py,AutocompleteJsonView,"
Handle AutocompleteWidget's AJAX requests for data.
",6,7,51,1
C:\Users\vaano\python_projects\django\django\contrib\admin\views\main.py,ChangeListSearchForm,,,,,
C:\Users\vaano\python_projects\django\django\contrib\admin\views\main.py,ChangeList,,,,,
C:\Users\vaano\python_projects\django\django\contrib\admindocs\apps.py,AdminDocsConfig,,,,,
C:\Users\vaano\python_projects\django\django\contrib\admindocs\middleware.py,XViewMiddleware,"
Add an X-View header to internal HEAD requests.
",9,10,47,1
C:\Users\vaano\python_projects\django\django\contrib\admindocs\views.py,BaseAdminDocsView,"
Base view for admindocs views.
",34,35,30,1
C:\Users\vaano\python_projects\django\django\contrib\admindocs\views.py,BookmarkletsView,,,,,
C:\Users\vaano\python_projects\django\django\contrib\admindocs\views.py,TemplateTagIndexView,,,,,
C:\Users\vaano\python_projects\django\django\contrib\admindocs\views.py,TemplateFilterIndexView,,,,,
C:\Users\vaano\python_projects\django\django\contrib\admindocs\views.py,ViewIndexView,,,,,
C:\Users\vaano\python_projects\django\django\contrib\admindocs\views.py,ViewDetailView,,,,,
C:\Users\vaano\python_projects\django\django\contrib\admindocs\views.py,ModelIndexView,,,,,
C:\Users\vaano\python_projects\django\django\contrib\admindocs\views.py,ModelDetailView,,,,,
C:\Users\vaano\python_projects\django\django\contrib\admindocs\views.py,TemplateDetailView,,,,,
C:\Users\vaano\python_projects\django\django\contrib\auth\admin.py,GroupAdmin,,,,,
C:\Users\vaano\python_projects\django\django\contrib\auth\admin.py,UserAdmin,,,,,
C:\Users\vaano\python_projects\django\django\contrib\auth\apps.py,AuthConfig,,,,,
C:\Users\vaano\python_projects\django\django\contrib\auth\backends.py,BaseBackend,,,,,
C:\Users\vaano\python_projects\django\django\contrib\auth\backends.py,ModelBackend,"
Authenticates against settings.AUTH_USER_MODEL.
",32,33,47,1
C:\Users\vaano\python_projects\django\django\contrib\auth\backends.py,AllowAllUsersModelBackend,,,,,
C:\Users\vaano\python_projects\django\django\contrib\auth\backends.py,RemoteUserBackend,"
This backend is to be used in conjunction with the ``RemoteUserMiddleware``
found in the middleware module of this package, and is used when the server
is handling authentication outside of Django.

By default, the ``authenticate`` method creates ``User`` objects for
usernames that don't already exist in the database.  Subclasses can disable
this behavior by setting the ``create_unknown_user`` attribute to
``False``.
",169,177,420,8
C:\Users\vaano\python_projects\django\django\contrib\auth\backends.py,AllowAllUsersRemoteUserBackend,,,,,
C:\Users\vaano\python_projects\django\django\contrib\auth\base_user.py,BaseUserManager,,,,,
C:\Users\vaano\python_projects\django\django\contrib\auth\base_user.py,AbstractBaseUser,,,,,
C:\Users\vaano\python_projects\django\django\contrib\auth\base_user.py,Meta,,,,,
C:\Users\vaano\python_projects\django\django\contrib\auth\context_processors.py,PermLookupDict,,,,,
C:\Users\vaano\python_projects\django\django\contrib\auth\context_processors.py,PermWrapper,,,,,
C:\Users\vaano\python_projects\django\django\contrib\auth\forms.py,ReadOnlyPasswordHashWidget,,,,,
C:\Users\vaano\python_projects\django\django\contrib\auth\forms.py,ReadOnlyPasswordHashField,,,,,
C:\Users\vaano\python_projects\django\django\contrib\auth\forms.py,UsernameField,,,,,
C:\Users\vaano\python_projects\django\django\contrib\auth\forms.py,UserCreationForm,"
A form that creates a user, with no privileges, from the given username and
password.
",82,84,85,2
C:\Users\vaano\python_projects\django\django\contrib\auth\forms.py,UserChangeForm,,,,,
C:\Users\vaano\python_projects\django\django\contrib\auth\forms.py,AuthenticationForm,"
Base class for authenticating users. Extend this to get a form that accepts
username/password logins.
",173,175,101,2
C:\Users\vaano\python_projects\django\django\contrib\auth\forms.py,PasswordResetForm,,,,,
