fileName,className,classComment,commentStart,commentEnd,classCommentSymbolLength,classCommentLineLength
C:\Users\vaano\python_projects\Mailpile\setup.py,Builder,,,,,
C:\Users\vaano\python_projects\Mailpile\mailpile\app.py,InteractCommand,,,,,
C:\Users\vaano\python_projects\Mailpile\mailpile\app.py,WaitCommand,,,,,
C:\Users\vaano\python_projects\Mailpile\mailpile\auth.py,UserSession,,,,,
C:\Users\vaano\python_projects\Mailpile\mailpile\auth.py,UserSessionCache,,,,,
C:\Users\vaano\python_projects\Mailpile\mailpile\auth.py,Authenticate,"
Authenticate a user (log in)
",101,102,28,1
C:\Users\vaano\python_projects\Mailpile\mailpile\auth.py,DeAuthenticate,"
De-authenticate a user (log out)
",234,235,32,1
C:\Users\vaano\python_projects\Mailpile\mailpile\auth.py,SetPassphrase,"
Manage storage of passwords (passphrases)
",263,264,41,1
C:\Users\vaano\python_projects\Mailpile\mailpile\commands.py,Command,"
Generic command object all others inherit from
",28,29,46,1
C:\Users\vaano\python_projects\Mailpile\mailpile\commands.py,CommandResult,,,,,
C:\Users\vaano\python_projects\Mailpile\mailpile\command_cache.py,CommandCache,"This is an in-memory cache of commands and results we may want to
    refresh in the background and/or reuse.
    
    The way this works:
        - Cache-able commands generate a fingerprint describing themselves.
        - If the fingerprint is found in cache, reuse the result object.
        - Otherwise, run, generate a list of requirements and cache all of:
          the command object itself, the requirements, the result object.
        - Internal state changes (tag ops, new mail, etc.) call mark_dirty()
          describing which assets (requirements) have changed.
        - Periodically, the cache is refreshed, which re-runs any dirtied
          commands and fires events notifying the UI about changes.
    
    Examples of requirements:
    
       - Search terms, eg. 'in:inbox' or 'potato' or 'salad'
       - Messages: 'msg:INDEX' where INDEX is a number (not a MID)
       - Threads: 'thread:MID' were MID is the thread ID.
       - The app configuration: '!config'
",17,37,1,1
C:\Users\vaano\python_projects\Mailpile\mailpile\command_cache.py,Cached,"
Fetch results from the command cache.
",151,152,37,1
C:\Users\vaano\python_projects\Mailpile\mailpile\conn_brokers.py,Capability,"
These are constants defining different types of outgoing or incoming
connections. Brokers use these to describe what sort of connections they
are capable of handling, and calling code uses these to describe the
intent of network connection.
",104,108,240,4
C:\Users\vaano\python_projects\Mailpile\mailpile\conn_brokers.py,CapabilityFailure,"
This exception is raised when capability requirements can't be satisfied.
It extends the IOError, so unaware code just thinks the network is lame.

>>> try:
...     raise CapabilityFailure('boo')
... except IOError:
...     print('ok')
ok
",150,158,238,8
C:\Users\vaano\python_projects\Mailpile\mailpile\conn_brokers.py,Url,,,,,
C:\Users\vaano\python_projects\Mailpile\mailpile\conn_brokers.py,BrokeredContext,"
This is the context returned by the BaseConnectionBroker.context()
method. It takes care of monkey-patching the socket.create_connection
method and then cleaning the mess up afterwards, and collecting metadata
from the brokers describing what sort of connection was established.

WARNING: In spite of our best efforts (locking, etc.), mixing brokered
         and unbrokered code will not work well at all. The patching
         approach also limits us to initiating one outgoing connection
         at a time.
",174,183,510,9
C:\Users\vaano\python_projects\Mailpile\mailpile\conn_brokers.py,BaseConnectionBroker,"
This is common code used by most of the connection brokers.
",244,245,59,1
C:\Users\vaano\python_projects\Mailpile\mailpile\conn_brokers.py,TcpConnectionBroker,"
The basic raw TCP/IP connection broker.

The only clever thing this class does, is to avoid trying to connect
to .onion addresses, preventing that from leaking over DNS.
",336,340,169,4
C:\Users\vaano\python_projects\Mailpile\mailpile\conn_brokers.py,SocksConnBroker,"
This broker offers the same services as the TcpConnBroker, but over a
SOCKS connection.
",401,403,87,2
C:\Users\vaano\python_projects\Mailpile\mailpile\conn_brokers.py,TorConnBroker,"
This broker offers the same services as the TcpConnBroker, but over Tor.

This removes the ""trackable"" capability, so requests that reject it can
find their way here safely...

This broker only volunteers to carry encrypted traffic, because Tor
exit nodes may be hostile.
",483,490,271,7
C:\Users\vaano\python_projects\Mailpile\mailpile\conn_brokers.py,TorRiskyBroker,"
This differs from the TorConnBroker in that it will allow ""cleartext""
traffic to anywhere - this is dangerous, because exit nodes could mess
with our traffic.
",525,528,158,3
C:\Users\vaano\python_projects\Mailpile\mailpile\conn_brokers.py,TorOnionBroker,"
This broker offers the same services as the TcpConnBroker, but over Tor.

This removes the ""trackable"" capability, so requests that reject it can
find their way here safely...

This differs from the TorConnBroker in that it will allow ""cleartext""
traffic, since we trust the traffic never leaves the Tor network and
we don't have hostile exits to worry about.
",538,546,359,8
C:\Users\vaano\python_projects\Mailpile\mailpile\conn_brokers.py,BaseConnectionBrokerProxy,"
Brokers based on this establish a RAW connection and then manipulate it
in some way, generally to implement proxying or TLS wrapping.
",562,564,133,2
C:\Users\vaano\python_projects\Mailpile\mailpile\conn_brokers.py,AutoTlsConnBroker,"
This broker tries to auto-upgrade connections to use TLS, or at
least do the SSL handshake here so we can record info about it.
",594,596,127,2
C:\Users\vaano\python_projects\Mailpile\mailpile\conn_brokers.py,AutoSmtpStartTLSConnBroker,,,,,
C:\Users\vaano\python_projects\Mailpile\mailpile\conn_brokers.py,AutoImapStartTLSConnBroker,,,,,
