fileName,className,classComment,commentStart,commentEnd,classCommentSymbolLength,classCommentLineLength
C:\Users\vaano\python_projects\pandas\setup.py,build_ext,,,,,
C:\Users\vaano\python_projects\pandas\setup.py,CleanCommand,"
Custom distutils command to clean the .so and .pyc files.
",218,219,57,1
C:\Users\vaano\python_projects\pandas\setup.py,CheckSDist,"
Custom sdist that ensures Cython has compiled all pyx files to c.
",299,300,65,1
C:\Users\vaano\python_projects\pandas\setup.py,CheckingBuildExt,"
Subclass build_ext to get clearer report if Cython is necessary.
",365,366,64,1
C:\Users\vaano\python_projects\pandas\setup.py,CythonCommand,"
Custom distutils command subclassed from Cython.Distutils.build_ext
to compile pyx->c, and stop there. All this does is override the
C-compile method build_extension() with a no-op.
",387,390,181,3
C:\Users\vaano\python_projects\pandas\setup.py,DummyBuildSrc,"
numpy's build_src command interferes with Cython's build_ext.
    
",398,399,61,1
C:\Users\vaano\python_projects\pandas\versioneer.py,VersioneerConfig,,,,,
C:\Users\vaano\python_projects\pandas\versioneer.py,NotThisMethod,,,,,
C:\Users\vaano\python_projects\pandas\versioneer.py,VersioneerBadRootError,,,,,
C:\Users\vaano\python_projects\pandas\versioneer.py,cmd_version,,,,,
C:\Users\vaano\python_projects\pandas\versioneer.py,cmd_build_py,,,,,
C:\Users\vaano\python_projects\pandas\versioneer.py,cmd_sdist,,,,,
C:\Users\vaano\python_projects\pandas\versioneer.py,cmd_build_exe,,,,,
C:\Users\vaano\python_projects\pandas\asv_bench\benchmarks\algorithms.py,MaybeConvertObjects,,,,,
C:\Users\vaano\python_projects\pandas\asv_bench\benchmarks\algorithms.py,Factorize,,,,,
C:\Users\vaano\python_projects\pandas\asv_bench\benchmarks\algorithms.py,FactorizeUnique,,,,,
C:\Users\vaano\python_projects\pandas\asv_bench\benchmarks\algorithms.py,Duplicated,,,,,
C:\Users\vaano\python_projects\pandas\asv_bench\benchmarks\algorithms.py,DuplicatedUniqueIndex,,,,,
C:\Users\vaano\python_projects\pandas\asv_bench\benchmarks\algorithms.py,Hashing,,,,,
C:\Users\vaano\python_projects\pandas\asv_bench\benchmarks\algorithms.py,Quantile,,,,,
C:\Users\vaano\python_projects\pandas\asv_bench\benchmarks\algorithms.py,SortIntegerArray,,,,,
C:\Users\vaano\python_projects\pandas\asv_bench\benchmarks\array.py,BooleanArray,,,,,
C:\Users\vaano\python_projects\pandas\asv_bench\benchmarks\attrs_caching.py,DataFrameAttributes,,,,,
C:\Users\vaano\python_projects\pandas\asv_bench\benchmarks\attrs_caching.py,CacheReadonly,,,,,
C:\Users\vaano\python_projects\pandas\asv_bench\benchmarks\attrs_caching.py,Foo,,,,,
C:\Users\vaano\python_projects\pandas\asv_bench\benchmarks\binary_ops.py,Ops,,,,,
C:\Users\vaano\python_projects\pandas\asv_bench\benchmarks\binary_ops.py,Ops2,,,,,
C:\Users\vaano\python_projects\pandas\asv_bench\benchmarks\binary_ops.py,Timeseries,,,,,
C:\Users\vaano\python_projects\pandas\asv_bench\benchmarks\binary_ops.py,AddOverflowScalar,,,,,
C:\Users\vaano\python_projects\pandas\asv_bench\benchmarks\binary_ops.py,AddOverflowArray,,,,,
C:\Users\vaano\python_projects\pandas\asv_bench\benchmarks\boolean.py,TimeLogicalOps,,,,,
C:\Users\vaano\python_projects\pandas\asv_bench\benchmarks\categoricals.py,Constructor,,,,,
C:\Users\vaano\python_projects\pandas\asv_bench\benchmarks\categoricals.py,CategoricalOps,,,,,
C:\Users\vaano\python_projects\pandas\asv_bench\benchmarks\categoricals.py,Concat,,,,,
C:\Users\vaano\python_projects\pandas\asv_bench\benchmarks\categoricals.py,ValueCounts,,,,,
C:\Users\vaano\python_projects\pandas\asv_bench\benchmarks\categoricals.py,Repr,,,,,
C:\Users\vaano\python_projects\pandas\asv_bench\benchmarks\categoricals.py,SetCategories,,,,,
C:\Users\vaano\python_projects\pandas\asv_bench\benchmarks\categoricals.py,RemoveCategories,,,,,
C:\Users\vaano\python_projects\pandas\asv_bench\benchmarks\categoricals.py,Rank,,,,,
C:\Users\vaano\python_projects\pandas\asv_bench\benchmarks\categoricals.py,Isin,,,,,
C:\Users\vaano\python_projects\pandas\asv_bench\benchmarks\categoricals.py,IsMonotonic,,,,,
C:\Users\vaano\python_projects\pandas\asv_bench\benchmarks\categoricals.py,Contains,,,,,
C:\Users\vaano\python_projects\pandas\asv_bench\benchmarks\categoricals.py,CategoricalSlicing,,,,,
C:\Users\vaano\python_projects\pandas\asv_bench\benchmarks\categoricals.py,Indexing,,,,,
C:\Users\vaano\python_projects\pandas\asv_bench\benchmarks\categoricals.py,SearchSorted,,,,,
C:\Users\vaano\python_projects\pandas\asv_bench\benchmarks\ctors.py,SeriesConstructors,,,,,
C:\Users\vaano\python_projects\pandas\asv_bench\benchmarks\ctors.py,SeriesDtypesConstructors,,,,,
C:\Users\vaano\python_projects\pandas\asv_bench\benchmarks\ctors.py,MultiIndexConstructor,,,,,
C:\Users\vaano\python_projects\pandas\asv_bench\benchmarks\dtypes.py,Dtypes,,,,,
C:\Users\vaano\python_projects\pandas\asv_bench\benchmarks\dtypes.py,DtypesInvalid,,,,,
C:\Users\vaano\python_projects\pandas\asv_bench\benchmarks\dtypes.py,InferDtypes,,,,,
C:\Users\vaano\python_projects\pandas\asv_bench\benchmarks\eval.py,Eval,,,,,
C:\Users\vaano\python_projects\pandas\asv_bench\benchmarks\eval.py,Query,,,,,
C:\Users\vaano\python_projects\pandas\asv_bench\benchmarks\frame_ctor.py,FromDicts,,,,,
C:\Users\vaano\python_projects\pandas\asv_bench\benchmarks\frame_ctor.py,FromSeries,,,,,
C:\Users\vaano\python_projects\pandas\asv_bench\benchmarks\frame_ctor.py,FromDictwithTimestamp,,,,,
C:\Users\vaano\python_projects\pandas\asv_bench\benchmarks\frame_ctor.py,FromRecords,,,,,
C:\Users\vaano\python_projects\pandas\asv_bench\benchmarks\frame_ctor.py,FromNDArray,,,,,
C:\Users\vaano\python_projects\pandas\asv_bench\benchmarks\frame_ctor.py,FromLists,,,,,
C:\Users\vaano\python_projects\pandas\asv_bench\benchmarks\frame_ctor.py,FromRange,,,,,
C:\Users\vaano\python_projects\pandas\asv_bench\benchmarks\frame_methods.py,GetNumericData,,,,,
C:\Users\vaano\python_projects\pandas\asv_bench\benchmarks\frame_methods.py,Lookup,,,,,
C:\Users\vaano\python_projects\pandas\asv_bench\benchmarks\frame_methods.py,Reindex,,,,,
C:\Users\vaano\python_projects\pandas\asv_bench\benchmarks\frame_methods.py,Rename,,,,,
C:\Users\vaano\python_projects\pandas\asv_bench\benchmarks\frame_methods.py,Iteration,,,,,
C:\Users\vaano\python_projects\pandas\asv_bench\benchmarks\frame_methods.py,ToString,,,,,
C:\Users\vaano\python_projects\pandas\asv_bench\benchmarks\frame_methods.py,ToHTML,,,,,
C:\Users\vaano\python_projects\pandas\asv_bench\benchmarks\frame_methods.py,Repr,,,,,
C:\Users\vaano\python_projects\pandas\asv_bench\benchmarks\frame_methods.py,MaskBool,,,,,
C:\Users\vaano\python_projects\pandas\asv_bench\benchmarks\frame_methods.py,Isnull,,,,,
C:\Users\vaano\python_projects\pandas\asv_bench\benchmarks\frame_methods.py,Fillna,,,,,
C:\Users\vaano\python_projects\pandas\asv_bench\benchmarks\frame_methods.py,Dropna,,,,,
C:\Users\vaano\python_projects\pandas\asv_bench\benchmarks\frame_methods.py,Count,,,,,
C:\Users\vaano\python_projects\pandas\asv_bench\benchmarks\frame_methods.py,Apply,,,,,
C:\Users\vaano\python_projects\pandas\asv_bench\benchmarks\frame_methods.py,Dtypes,,,,,
C:\Users\vaano\python_projects\pandas\asv_bench\benchmarks\frame_methods.py,Equals,,,,,
C:\Users\vaano\python_projects\pandas\asv_bench\benchmarks\frame_methods.py,Interpolate,,,,,
C:\Users\vaano\python_projects\pandas\asv_bench\benchmarks\frame_methods.py,Shift,"frame shift speedup issue-5609",466,466,15,1
