fileName,className,classComment,commentStart,commentEnd,classCommentSymbolLength,classCommentLineLength
C:\Users\vaano\python_projects\pytorch\setup.py,build_ext,,,,,
C:\Users\vaano\python_projects\pytorch\setup.py,install,,,,,
C:\Users\vaano\python_projects\pytorch\setup.py,clean,,,,,
C:\Users\vaano\python_projects\pytorch\.circleci\generate_config_yml.py,File,"
Verbatim copy the contents of a file into config.yml
",21,22,52,1
C:\Users\vaano\python_projects\pytorch\.circleci\generate_config_yml.py,FunctionGen,,,,,
C:\Users\vaano\python_projects\pytorch\.circleci\generate_config_yml.py,Treegen,"
Insert the content of a YAML tree into config.yml
",37,38,49,1
C:\Users\vaano\python_projects\pytorch\.circleci\generate_config_yml.py,Listgen,"
Insert the content of a YAML list into config.yml
",48,49,49,1
C:\Users\vaano\python_projects\pytorch\.circleci\generate_config_yml.py,Header,,,,,
C:\Users\vaano\python_projects\pytorch\.circleci\cimodel\data\binary_build_data.py,TopLevelNode,,,,,
C:\Users\vaano\python_projects\pytorch\.circleci\cimodel\data\binary_build_data.py,OSConfigNode,,,,,
C:\Users\vaano\python_projects\pytorch\.circleci\cimodel\data\binary_build_data.py,PackageFormatConfigNode,,,,,
C:\Users\vaano\python_projects\pytorch\.circleci\cimodel\data\binary_build_data.py,LinuxGccConfigNode,,,,,
C:\Users\vaano\python_projects\pytorch\.circleci\cimodel\data\binary_build_data.py,ArchConfigNode,,,,,
C:\Users\vaano\python_projects\pytorch\.circleci\cimodel\data\binary_build_data.py,PyVersionConfigNode,,,,,
C:\Users\vaano\python_projects\pytorch\.circleci\cimodel\data\binary_build_data.py,LinkingVariantConfigNode,,,,,
C:\Users\vaano\python_projects\pytorch\.circleci\cimodel\data\binary_build_data.py,DependencyInclusionConfigNode,,,,,
C:\Users\vaano\python_projects\pytorch\.circleci\cimodel\data\binary_build_definitions.py,Conf,,,,,
C:\Users\vaano\python_projects\pytorch\.circleci\cimodel\data\caffe2_build_data.py,TreeConfigNode,,,,,
C:\Users\vaano\python_projects\pytorch\.circleci\cimodel\data\caffe2_build_data.py,TopLevelNode,,,,,
C:\Users\vaano\python_projects\pytorch\.circleci\cimodel\data\caffe2_build_data.py,DistroConfigNode,,,,,
C:\Users\vaano\python_projects\pytorch\.circleci\cimodel\data\caffe2_build_data.py,CompilerConfigNode,,,,,
C:\Users\vaano\python_projects\pytorch\.circleci\cimodel\data\caffe2_build_data.py,LanguageConfigNode,,,,,
C:\Users\vaano\python_projects\pytorch\.circleci\cimodel\data\caffe2_build_data.py,ImportantConfigNode,,,,,
C:\Users\vaano\python_projects\pytorch\.circleci\cimodel\data\caffe2_build_definitions.py,Conf,,,,,
C:\Users\vaano\python_projects\pytorch\.circleci\cimodel\data\pytorch_build_data.py,TreeConfigNode,,,,,
C:\Users\vaano\python_projects\pytorch\.circleci\cimodel\data\pytorch_build_data.py,TopLevelNode,,,,,
C:\Users\vaano\python_projects\pytorch\.circleci\cimodel\data\pytorch_build_data.py,DistroConfigNode,,,,,
C:\Users\vaano\python_projects\pytorch\.circleci\cimodel\data\pytorch_build_data.py,PyVerConfigNode,,,,,
C:\Users\vaano\python_projects\pytorch\.circleci\cimodel\data\pytorch_build_data.py,ExperimentalFeatureConfigNode,,,,,
C:\Users\vaano\python_projects\pytorch\.circleci\cimodel\data\pytorch_build_data.py,XlaConfigNode,,,,,
C:\Users\vaano\python_projects\pytorch\.circleci\cimodel\data\pytorch_build_data.py,ParallelTBBConfigNode,,,,,
C:\Users\vaano\python_projects\pytorch\.circleci\cimodel\data\pytorch_build_data.py,ParallelNativeConfigNode,,,,,
C:\Users\vaano\python_projects\pytorch\.circleci\cimodel\data\pytorch_build_data.py,LibTorchConfigNode,,,,,
C:\Users\vaano\python_projects\pytorch\.circleci\cimodel\data\pytorch_build_data.py,AndroidAbiConfigNode,,,,,
C:\Users\vaano\python_projects\pytorch\.circleci\cimodel\data\pytorch_build_data.py,ImportantConfigNode,,,,,
C:\Users\vaano\python_projects\pytorch\.circleci\cimodel\data\pytorch_build_data.py,XenialCompilerConfigNode,,,,,
C:\Users\vaano\python_projects\pytorch\.circleci\cimodel\data\pytorch_build_data.py,XenialCompilerVersionConfigNode,,,,,
C:\Users\vaano\python_projects\pytorch\.circleci\cimodel\data\pytorch_build_definitions.py,Conf,,,,,
C:\Users\vaano\python_projects\pytorch\.circleci\cimodel\data\pytorch_build_definitions.py,HiddenConf,,,,,
C:\Users\vaano\python_projects\pytorch\.circleci\cimodel\lib\conf_tree.py,Ver,"
Represents a product with a version number
",18,19,42,1
