fileName,className,classComment,commentStart,commentEnd,classCommentSymbolLength,classCommentLineLength
C:\Users\vaano\python_projects\ipython\setupbase.py,build_scripts_entrypt,"
Build the command line scripts

Parse setuptools style entry points and write simple scripts to run the
target functions.

On Windows, this also creates .cmd wrappers for the scripts so that you can
easily launch them from a command line.
",249,256,238,7
C:\Users\vaano\python_projects\ipython\setupbase.py,install_lib_symlink,,,,,
C:\Users\vaano\python_projects\ipython\setupbase.py,unsymlink,,,,,
C:\Users\vaano\python_projects\ipython\setupbase.py,install_symlinked,,,,,
C:\Users\vaano\python_projects\ipython\setupbase.py,install_scripts_for_symlink,"
Redefined to get options from 'symlink' instead of 'install'.

I love distutils almost as much as I love setuptools.
",334,337,116,3
C:\Users\vaano\python_projects\ipython\setupbase.py,DecoratedCommand,,,,,
C:\Users\vaano\python_projects\ipython\setupbase.py,MyBuildPy,"
Subclass to write commit data into installation tree 
",361,362,52,1
C:\Users\vaano\python_projects\ipython\docs\autogen_shortcuts.py,_DummyTerminal,"
Used as a buffer to get prompt_toolkit bindings
    
",45,46,47,1
C:\Users\vaano\python_projects\ipython\docs\sphinxext\apigen.py,Obj,"
Namespace to hold arbitrary information.
",30,31,40,1
C:\Users\vaano\python_projects\ipython\docs\sphinxext\apigen.py,FuncClsScanner,"
Scan a module for top-level functions and classes.

Skips objects with an @undoc decorator, or a name starting with '_'.
",36,39,120,3
C:\Users\vaano\python_projects\ipython\docs\sphinxext\apigen.py,ApiDocWriter,"
Class for automatic detection and parsing of API docs
    to Sphinx-parsable reST format
",79,81,84,2
C:\Users\vaano\python_projects\ipython\docs\sphinxext\magics.py,LineMagicRole,"
Cross reference role displayed with a % prefix
",17,18,46,1
C:\Users\vaano\python_projects\ipython\docs\sphinxext\magics.py,CellMagicRole,"
Cross reference role displayed with a %% prefix
",35,36,47,1
C:\Users\vaano\python_projects\ipython\examples\Embedding\embed_class_long.py,CustomPrompt,,,,,
C:\Users\vaano\python_projects\ipython\examples\IPython Kernel\gui\gui-qt.py,SimpleWindow,,,,,
C:\Users\vaano\python_projects\ipython\examples\IPython Kernel\gui\gui-tk.py,MyApp,,,,,
C:\Users\vaano\python_projects\ipython\examples\IPython Kernel\gui\gui-wx.py,MyFrame,"
This is MyFrame.  It just shows a few controls on a wxPanel,
and has a simple menu.
",18,20,83,2
C:\Users\vaano\python_projects\ipython\examples\IPython Kernel\gui\gui-wx.py,MyApp,,,,,
C:\Users\vaano\python_projects\ipython\examples\utils\cwd_prompt.py,MyPrompt,,,,,
C:\Users\vaano\python_projects\ipython\IPython\core\alias.py,AliasError,,,,,
C:\Users\vaano\python_projects\ipython\IPython\core\alias.py,InvalidAliasError,,,,,
C:\Users\vaano\python_projects\ipython\IPython\core\alias.py,Alias,"
Callable object storing the details of one alias.

Instances are registered as magic functions to allow use of aliases.
",121,124,119,3
C:\Users\vaano\python_projects\ipython\IPython\core\alias.py,AliasManager,,,,,
C:\Users\vaano\python_projects\ipython\IPython\core\application.py,ProfileAwareConfigLoader,"
A Python file config loader that is aware of IPython profiles.
",89,90,62,1
C:\Users\vaano\python_projects\ipython\IPython\core\application.py,BaseIPythonApplication,,,,,
C:\Users\vaano\python_projects\ipython\IPython\core\async_helpers.py,_AsyncIORunner,,,,,
C:\Users\vaano\python_projects\ipython\IPython\core\async_helpers.py,_AsyncSyntaxErrorVisitor,"
Find syntax errors that would be an error in an async repl, but because
the implementation involves wrapping the repl in an async function, it
is erroneously allowed (e.g. yield or return at the top level)
",96,99,205,3
C:\Users\vaano\python_projects\ipython\IPython\core\autocall.py,IPyAutocall,"
Instances of this class are always autocalled

This happens regardless of 'autocall' variable state. Use this to
develop macro-like mechanisms.
",32,36,143,4
C:\Users\vaano\python_projects\ipython\IPython\core\autocall.py,ExitAutocall,"
An autocallable object which will be added to the user namespace so that
exit, exit(), quit or quit() are all valid ways to close the shell.
",52,54,140,2
C:\Users\vaano\python_projects\ipython\IPython\core\autocall.py,ZMQExitAutocall,"
Exit IPython. Autocallable, so it needn't be explicitly called.

Parameters
----------
keep_kernel : bool
  If True, leave the kernel alive. Otherwise, tell the kernel to exit too
  (default).
",60,67,192,7
C:\Users\vaano\python_projects\ipython\IPython\core\builtin_trap.py,__BuiltinUndefined,,,,,
C:\Users\vaano\python_projects\ipython\IPython\core\builtin_trap.py,__HideBuiltin,,,,,
C:\Users\vaano\python_projects\ipython\IPython\core\builtin_trap.py,BuiltinTrap,,,,,
C:\Users\vaano\python_projects\ipython\IPython\core\compilerop.py,CachingCompiler,"
A compiler that caches code compiled from interactive statements.
    
",70,71,65,1
C:\Users\vaano\python_projects\ipython\IPython\core\completer.py,ProvisionalCompleterWarning,"
Exception raise by an experimental feature in this module.

Wrap code in :any:`provisionalcompleter` context manager if you
are certain you want to use an unstable feature.
",173,177,172,4
C:\Users\vaano\python_projects\ipython\IPython\core\completer.py,_FakeJediCompletion,"
This is a workaround to communicate to the UI that Jedi has crashed and to
report a bug. Will be used only id :any:`IPCompleter.debug` is set to true.

Added in IPython 6.0 so should likely be removed for 7.0
",326,330,208,4
