Combination,LANGUAGE,Feature,ML-model,F-MEASURE
1,1,1,1,0.7815609025
1,1,1,1,0.7846841594
1,1,1,1,0.7739137563
1,1,1,1,0.6083669438
1,1,1,1,0.6292552633
2,1,2,1,0.8087249394
2,1,2,1,0.8048817329
2,1,2,1,0.7472387526
2,1,2,1,0.7756017561
2,1,2,1,0.6262549424
3,1,3,1,0.7923284766
3,1,3,1,0.7852380496
3,1,3,1,0.7824469351
3,1,3,1,0.7055999067
3,1,3,1,0.6479103276
4,1,1,2,0.4891068362
4,1,1,2,0.8334661891
4,1,1,2,0.8301093048
4,1,1,2,0.7955611305
4,1,1,2,0.6837396519
5,1,2,2,0.4088639046
5,1,2,2,0.7304482118
5,1,2,2,0.7480016132
5,1,2,2,0.7970946266
5,1,2,2,0.6117556121
6,1,3,2,0.8311867956
6,1,3,2,0.8226763868
6,1,3,2,0.8229904485
6,1,3,2,0.8107919363
6,1,3,2,0.6784579589
7,1,1,3,0.8645180601
7,1,1,3,0.8370689143
7,1,1,3,0.853797454
7,1,1,3,0.8140002254
7,1,1,3,0.8078056999
8,1,2,3,0.8275379485
8,1,2,3,0.8086227478
8,1,2,3,0.7786222341
8,1,2,3,0.8115453748
8,1,2,3,0.651331367
9,1,3,3,0.8690602572
9,1,3,3,0.8299831806
9,1,3,3,0.8520048816
9,1,3,3,0.8450997708
9,1,3,3,0.8164496112
10,2,1,1,0.9308031577
10,2,1,1,0.7835513445
10,2,1,1,0.9778203077
10,2,1,1,0.7050228237
10,2,1,1,0.8889109258
10,2,1,1,0.8107251666
10,2,1,1,0.7397439861
11,2,2,1,0.903899017
11,2,2,1,0.7953155364
11,2,2,1,0.9236380893
11,2,2,1,0.6356364462
11,2,2,1,0.8850165852
11,2,2,1,0.8071897764
11,2,2,1,0.752583799
12,2,3,1,0.9265012597
12,2,3,1,0.7909383757
12,2,3,1,0.9843266082
12,2,3,1,0.719773865
12,2,3,1,0.8954184704
12,2,3,1,0.8306153797
12,2,3,1,0.7576149339
13,2,1,2,0.9761134209
13,2,1,2,0.7989516741
13,2,1,2,0.9946967712
13,2,1,2,0.8192235983
13,2,1,2,0.9392490751
13,2,1,2,0.8232533626
13,2,1,2,0.7721217158
14,2,2,2,0.4709669849
14,2,2,2,0.8003166111
14,2,2,2,0.957031963
14,2,2,2,0.6246120794
14,2,2,2,0.9275846579
14,2,2,2,0.8487680411
14,2,2,2,0.7426960875
15,2,3,2,0.9767568985
15,2,3,2,0.8036012776
15,2,3,2,0.9946967712
15,2,3,2,0.8302147046
15,2,3,2,0.9360258011
15,2,3,2,0.853375292
15,2,3,2,0.7675506613
16,2,1,3,0.9763011735
16,2,1,3,0.8547732733
16,2,1,3,0.9964005928
16,2,1,3,0.9107898268
16,2,1,3,0.9474870722
16,2,1,3,0.8270367337
16,2,1,3,0.8537716087
17,2,2,3,0.6595873208
17,2,2,3,0.852495526
17,2,2,3,0.9564792941
17,2,2,3,0.7166874245
17,2,2,3,0.9308004216
17,2,2,3,0.8401760446
17,2,2,3,0.7842707857
18,2,3,3,0.9778003171
18,2,3,3,0.8559551056
18,2,3,3,0.9946173239
18,2,3,3,0.9085447985
18,2,3,3,0.9458801828
18,2,3,3,0.8661148199
18,2,3,3,0.8716899089
19,3,1,1,0.9305266302
19,3,1,1,0.8509638939
19,3,1,1,0.6974764418
19,3,1,1,0.8310867741
19,3,1,1,0.8363041921
19,3,1,1,0.7440088402
20,3,2,1,0.9379099591
20,3,2,1,0.8836686417
20,3,2,1,0.6547179796
20,3,2,1,0.8847917912
20,3,2,1,0.8459720776
20,3,2,1,0.7872128069
21,3,3,1,0.9364903115
21,3,3,1,0.8740074995
21,3,3,1,0.7293844106
21,3,3,1,0.8687746158
21,3,3,1,0.8443876931
21,3,3,1,0.7788344681
22,3,1,2,0
22,3,1,2,0.1814482049
22,3,1,2,0.6641612637
22,3,1,2,0.8730239457
22,3,1,2,0.7889806715
22,3,1,2,0.7271905962
23,3,2,2,0.0954997078
23,3,2,2,0.7245243416
23,3,2,2,0.6494866331
23,3,2,2,0.8962577022
23,3,2,2,0.2635414465
23,3,2,2,0.7628378606
24,3,3,2,0.0954997078
24,3,3,2,0.8186398983
24,3,3,2,0.6932723247
24,3,3,2,0.8957794909
24,3,3,2,0.7897915464
24,3,3,2,0.7696811836
25,3,1,3,0.1947912644
25,3,1,3,0.7304549684
25,3,1,3,0.8304226512
25,3,1,3,0.8776796533
25,3,1,3,0.8941471527
25,3,1,3,0.7585533099
26,3,2,3,0.672747702
26,3,2,3,0.9169797456
26,3,2,3,0.6935732611
26,3,2,3,0.9002003589
26,3,2,3,0.8831219856
26,3,2,3,0.8057261706
27,3,3,3,0.2911103632
27,3,3,3,0.8254024027
27,3,3,3,0.8461180186
27,3,3,3,0.9003406114
27,3,3,3,0.8943664002
27,3,3,3,0.7785889423
