Language ID,Feature ID,Naive Bayes,J48,Random Forest
1,1,0.7815609025,0.4891068362,0.8645180601
1,1,0.7846841594,0.8334661891,0.8370689143
1,1,0.7739137563,0.8301093048,0.853797454
1,1,0.6083669438,0.7955611305,0.8140002254
1,1,0.6292552633,0.6837396519,0.8078056999
1,2,0.8087249394,0.4088639046,0.8275379485
1,2,0.8048817329,0.7304482118,0.8086227478
1,2,0.7472387526,0.7480016132,0.7786222341
1,2,0.7756017561,0.7970946266,0.8115453748
1,2,0.6262549424,0.6117556121,0.651331367
1,3,0.7923284766,0.4088639046,0.8690602572
1,3,0.7852380496,0.7304482118,0.8299831806
1,3,0.7824469351,0.7480016132,0.8520048816
1,3,0.7055999067,0.7970946266,0.8450997708
1,3,0.6479103276,0.6117556121,0.8164496112
2,1,0.9308031577,0.9761134209,0.9763011735
2,1,0.7835513445,0.7989516741,0.8547732733
2,1,0.9778203077,0.9946967712,0.9964005928
2,1,0.7050228237,0.8192235983,0.9107898268
2,1,0.8889109258,0.9392490751,0.9474870722
2,1,0.8107251666,0.8232533626,0.8270367337
2,1,0.7397439861,0.7721217158,0.8537716087
2,2,0.903899017,0.4709669849,0.6595873208
2,2,0.7953155364,0.8003166111,0.852495526
2,2,0.9236380893,0.957031963,0.9564792941
2,2,0.6356364462,0.6246120794,0.7166874245
2,2,0.8850165852,0.9275846579,0.9308004216
2,2,0.8071897764,0.8487680411,0.8401760446
2,2,0.752583799,0.7426960875,0.7842707857
2,3,0.9265012597,0.9767568985,0.9778003171
2,3,0.7909383757,0.8036012776,0.8559551056
2,3,0.9843266082,0.9946967712,0.9946173239
2,3,0.719773865,0.8302147046,0.9085447985
2,3,0.8954184704,0.9360258011,0.9458801828
2,3,0.8306153797,0.853375292,0.8661148199
2,3,0.7576149339,0.7675506613,0.8716899089
3,1,0.9305266302,0,0.1947912644
3,1,0.8509638939,0.1814482049,0.7304549684
3,1,0.6974764418,0.6641612637,0.8304226512
3,1,0.8310867741,0.8730239457,0.8776796533
3,1,0.8363041921,0.7889806715,0.8941471527
3,1,0.7440088402,0.7271905962,0.7585533099
3,2,0.9379099591,0.0954997078,0.672747702
3,2,0.8836686417,0.7245243416,0.9169797456
3,2,0.6547179796,0.6494866331,0.6935732611
3,2,0.8847917912,0.8962577022,0.9002003589
3,2,0.8459720776,0.2635414465,0.8831219856
3,2,0.7872128069,0.7628378606,0.8057261706
3,3,0.9364903115,0.0954997078,0.2911103632
3,3,0.8740074995,0.8186398983,0.8254024027
3,3,0.7293844106,0.6932723247,0.8461180186
3,3,0.8687746158,0.8957794909,0.9003406114
3,3,0.8443876931,0.7897915464,0.8943664002
3,3,0.7788344681,0.7696811836,0.7785889423
