Language ID,TEXT,NLP,NLP+TEXT
1,0.8645180601,0.8275379485,0.8690602572
1,0.8370689143,0.8086227478,0.8299831806
1,0.853797454,0.7786222341,0.8520048816
1,0.8140002254,0.8115453748,0.8450997708
1,0.8078056999,0.651331367,0.8164496112
2,0.9763011735,0.6595873208,0.9778003171
2,0.8547732733,0.852495526,0.8559551056
2,0.9964005928,0.9564792941,0.9946173239
2,0.9107898268,0.7166874245,0.9085447985
2,0.9474870722,0.9308004216,0.9458801828
2,0.8270367337,0.8401760446,0.8661148199
2,0.8537716087,0.7842707857,0.8716899089
3,0.1947912644,0.672747702,0.2911103632
3,0.7304549684,0.9169797456,0.8254024027
3,0.8304226512,0.6935732611,0.8461180186
3,0.8776796533,0.9002003589,0.9003406114
3,0.8941471527,0.8831219856,0.8943664002
3,0.7585533099,0.8057261706,0.7785889423
